"","Instrument.Serial.Num","Reading..","Date","Time","Method.Name","User.Factor.Name","Test.Label","Collimation.Status","Latitude","Longitude","Units","Mg.Compound","Mg.Compound.Level","Mg.Compound.Error","Mg.Concentration","Mg.Error1s","Al.Compound","Al.Compound.Level","Al.Compound.Error","Al.Concentration","Al.Error1s","Si.Compound","Si.Compound.Level","Si.Compound.Error","Si.Concentration","Si.Error1s","P.Compound","P.Compound.Level","P.Compound.Error","P.Concentration","P.Error1s","S.Compound","S.Compound.Level","S.Compound.Error","S.Concentration","S.Error1s","K.Compound","K.Compound.Level","K.Compound.Error","K.Concentration","K.Error1s","Ca.Compound","Ca.Compound.Level","Ca.Compound.Error","Ca.Concentration","Ca.Error1s","Ti.Compound","Ti.Compound.Level","Ti.Compound.Error","Ti.Concentration","Ti.Error1s","V.Compound","V.Compound.Level","V.Compound.Error","V.Concentration","V.Error1s","Cr.Compound","Cr.Compound.Level","Cr.Compound.Error","Cr.Concentration","Cr.Error1s","Mn.Compound","Mn.Compound.Level","Mn.Compound.Error","Mn.Concentration","Mn.Error1s","Fe.Compound","Fe.Compound.Level","Fe.Compound.Error","Fe.Concentration","Fe.Error1s","Co.Compound","Co.Compound.Level","Co.Compound.Error","Co.Concentration","Co.Error1s","Ni.Compound","Ni.Compound.Level","Ni.Compound.Error","Ni.Concentration","Ni.Error1s","Cu.Compound","Cu.Compound.Level","Cu.Compound.Error","Cu.Concentration","Cu.Error1s","Zn.Compound","Zn.Compound.Level","Zn.Compound.Error","Zn.Concentration","Zn.Error1s","As.Compound","As.Compound.Level","As.Compound.Error","As.Concentration","As.Error1s","Se.Compound","Se.Compound.Level","Se.Compound.Error","Se.Concentration","Se.Error1s","Rb.Compound","Rb.Compound.Level","Rb.Compound.Error","Rb.Concentration","Rb.Error1s","Sr.Compound","Sr.Compound.Level","Sr.Compound.Error","Sr.Concentration","Sr.Error1s","Y.Compound","Y.Compound.Level","Y.Compound.Error","Y.Concentration","Y.Error1s","Zr.Compound","Zr.Compound.Level","Zr.Compound.Error","Zr.Concentration","Zr.Error1s","Nb.Compound","Nb.Compound.Level","Nb.Compound.Error","Nb.Concentration","Nb.Error1s","Mo.Compound","Mo.Compound.Level","Mo.Compound.Error","Mo.Concentration","Mo.Error1s","Ag.Compound","Ag.Compound.Level","Ag.Compound.Error","Ag.Concentration","Ag.Error1s","Cd.Compound","Cd.Compound.Level","Cd.Compound.Error","Cd.Concentration","Cd.Error1s","Sn.Compound","Sn.Compound.Level","Sn.Compound.Error","Sn.Concentration","Sn.Error1s","Sb.Compound","Sb.Compound.Level","Sb.Compound.Error","Sb.Concentration","Sb.Error1s","Ba.Compound","Ba.Compound.Level","Ba.Compound.Error","Ba.Concentration","Ba.Error1s","W.Compound","W.Compound.Level","W.Compound.Error","W.Concentration","W.Error1s","Hg.Compound","Hg.Compound.Level","Hg.Compound.Error","Hg.Concentration","Hg.Error1s","Pb.Compound","Pb.Compound.Level","Pb.Compound.Error","Pb.Concentration","Pb.Error1s","Bi.Compound","Bi.Compound.Level","Bi.Compound.Error","Bi.Concentration","Bi.Error1s","Th.Compound","Th.Compound.Level","Th.Compound.Error","Th.Concentration","Th.Error1s","U.Compound","U.Compound.Level","U.Compound.Error","U.Concentration","U.Error1s","LE.Compound","LE.Compound.Level","LE.Compound.Error","LE.Concentration","LE.Error1s","Notes","Operator","Project.No","Sample.ID","Sample.Type","Real.Time.1","Real.Time.2"
"1",804967,1,"2020-02-04","10:00:37","Geochem(2)","Trial",1,"No",NA,NA,"PPM",NA,NA,NA,0,2132,NA,NA,NA,0,349,NA,NA,NA,429589,761,NA,NA,NA,0,44,NA,NA,NA,0,58,NA,NA,NA,0,63,NA,NA,NA,343,14,NA,NA,NA,0,56,NA,NA,NA,0,22,NA,NA,NA,0,14,NA,NA,NA,0,104,NA,NA,NA,18,5,NA,NA,NA,0,4,NA,NA,NA,0,5,NA,NA,NA,0,3,NA,NA,NA,0,2,NA,NA,NA,0,1,NA,NA,NA,0,1,NA,NA,NA,0,1,NA,NA,NA,0,1,NA,NA,NA,0,1,NA,NA,NA,0,2,NA,NA,NA,0,1,NA,NA,NA,0,2,NA,NA,NA,0,7,NA,NA,NA,0,8,NA,NA,NA,0,13,NA,NA,NA,0,16,NA,NA,NA,0,400,NA,NA,NA,0,4,NA,NA,NA,0,3,NA,NA,NA,0,2,NA,NA,NA,0,6,NA,NA,NA,0,4,NA,NA,NA,0,2,NA,NA,NA,570051,761,"SiO2 blank","NHW","17-1062-020","0","Chip",60,60
"2",804967,2,"2020-02-04","10:03:08","Geochem(2)","Trial",2,"No",NA,NA,"PPM",NA,NA,NA,12752,1919,NA,NA,NA,64523,522,NA,NA,NA,277167,846,NA,NA,NA,802,38,NA,NA,NA,869,36,NA,NA,NA,23125,80,NA,NA,NA,23567,76,NA,NA,NA,3423,100,NA,NA,NA,0,33,NA,NA,NA,73,13,NA,NA,NA,582,15,NA,NA,NA,28726,103,NA,NA,NA,92,17,NA,NA,NA,41,4,NA,NA,NA,161,4,NA,NA,NA,441,5,NA,NA,NA,89,5,NA,NA,NA,0,1,NA,NA,NA,121,1,NA,NA,NA,231,2,NA,NA,NA,34,1,NA,NA,NA,316,2,NA,NA,NA,19,1,NA,NA,NA,0,2,NA,NA,NA,0,7,NA,NA,NA,51,5,NA,NA,NA,0,12,NA,NA,NA,41,9,NA,NA,NA,651,147,NA,NA,NA,15,4,NA,NA,NA,9,2,NA,NA,NA,1354,7,NA,NA,NA,0,7,NA,NA,NA,0,4,NA,NA,NA,0,3,NA,NA,NA,560727,1437,"Montana dirt","NHW","17-1062-020","0","Chip",60,60
"3",804967,3,"2020-02-04","10:06:33","Geochem(2)","Trial",3,"No",NA,NA,"PPM",NA,NA,NA,0,1926,NA,NA,NA,72687,485,NA,NA,NA,405970,716,NA,NA,NA,0,39,NA,NA,NA,0,53,NA,NA,NA,35002,81,NA,NA,NA,5647,29,NA,NA,NA,626,97,NA,NA,NA,0,32,NA,NA,NA,73,13,NA,NA,NA,293,13,NA,NA,NA,6623,35,NA,NA,NA,27,9,NA,NA,NA,10,3,NA,NA,NA,0,4,NA,NA,NA,28,2,NA,NA,NA,3,1,NA,NA,NA,0,1,NA,NA,NA,101,1,NA,NA,NA,68,1,NA,NA,NA,26,1,NA,NA,NA,98,1,NA,NA,NA,8,1,NA,NA,NA,0,2,NA,NA,NA,0,7,NA,NA,NA,0,9,NA,NA,NA,0,14,NA,NA,NA,0,18,NA,NA,NA,1224,173,NA,NA,NA,0,4,NA,NA,NA,0,3,NA,NA,NA,11,1,NA,NA,NA,0,6,NA,NA,NA,8,2,NA,NA,NA,0,3,NA,NA,NA,471465,859,"Obsid TYS","NHW","17-1062-020","0","Chip",60,60
"4",804967,4,"2020-02-04","10:10:34","Geochem(2)","Trial",4,"No",NA,NA,"PPM",NA,NA,NA,0,2588,NA,NA,NA,71174,528,NA,NA,NA,327472,714,NA,NA,NA,462,38,NA,NA,NA,1429,41,NA,NA,NA,30135,80,NA,NA,NA,5883,31,NA,NA,NA,1073,102,NA,NA,NA,0,33,NA,NA,NA,50,13,NA,NA,NA,294,13,NA,NA,NA,8915,42,NA,NA,NA,0,16,NA,NA,NA,19,3,NA,NA,NA,38,3,NA,NA,NA,45,2,NA,NA,NA,5,1,NA,NA,NA,0,1,NA,NA,NA,96,1,NA,NA,NA,66,1,NA,NA,NA,26,1,NA,NA,NA,97,1,NA,NA,NA,7,1,NA,NA,NA,0,2,NA,NA,NA,0,8,NA,NA,NA,0,9,NA,NA,NA,0,14,NA,NA,NA,0,18,NA,NA,NA,957,175,NA,NA,NA,0,5,NA,NA,NA,0,3,NA,NA,NA,13,1,NA,NA,NA,0,6,NA,NA,NA,0,4,NA,NA,NA,0,3,NA,NA,NA,551745,914,"Obsid TYS","NHW","17-1062-020","0","Chip",60,60
"5",804967,5,"2020-02-04","10:13:59","Geochem(2)","Trial",5,"No",NA,NA,"PPM",NA,NA,NA,0,1972,NA,NA,NA,68908,479,NA,NA,NA,395153,719,NA,NA,NA,0,41,NA,NA,NA,0,56,NA,NA,NA,34555,81,NA,NA,NA,5660,29,NA,NA,NA,638,97,NA,NA,NA,0,31,NA,NA,NA,55,13,NA,NA,NA,307,13,NA,NA,NA,6671,35,NA,NA,NA,0,14,NA,NA,NA,12,3,NA,NA,NA,0,4,NA,NA,NA,26,2,NA,NA,NA,0,2,NA,NA,NA,0,1,NA,NA,NA,100,1,NA,NA,NA,68,1,NA,NA,NA,24,1,NA,NA,NA,98,1,NA,NA,NA,9,1,NA,NA,NA,0,2,NA,NA,NA,0,7,NA,NA,NA,0,9,NA,NA,NA,0,14,NA,NA,NA,0,17,NA,NA,NA,1334,173,NA,NA,NA,0,4,NA,NA,NA,0,3,NA,NA,NA,12,1,NA,NA,NA,0,6,NA,NA,NA,8,2,NA,NA,NA,0,3,NA,NA,NA,486361,867,"Obsid TYS","NHW","17-1062-020","0","Chip",60,60
"6",804967,6,"2020-02-04","10:18:42","Geochem(2)","Trial",6,"No",NA,NA,"PPM",NA,NA,NA,0,2495,NA,NA,NA,77462,550,NA,NA,NA,326866,734,NA,NA,NA,0,57,NA,NA,NA,0,73,NA,NA,NA,31285,85,NA,NA,NA,17227,52,NA,NA,NA,2442,112,NA,NA,NA,0,38,NA,NA,NA,79,14,NA,NA,NA,354,14,NA,NA,NA,18704,69,NA,NA,NA,115,15,NA,NA,NA,23,4,NA,NA,NA,54,3,NA,NA,NA,64,2,NA,NA,NA,8,1,NA,NA,NA,0,1,NA,NA,NA,127,1,NA,NA,NA,426,2,NA,NA,NA,7,1,NA,NA,NA,190,2,NA,NA,NA,12,1,NA,NA,NA,0,3,NA,NA,NA,0,8,NA,NA,NA,0,9,NA,NA,NA,23,7,NA,NA,NA,0,18,NA,NA,NA,946,180,NA,NA,NA,0,5,NA,NA,NA,0,3,NA,NA,NA,8,1,NA,NA,NA,0,7,NA,NA,NA,18,3,NA,NA,NA,4,1,NA,NA,NA,523556,979,"formal tool","NHW","17-1062-020","EfRc-4:005","Chip",60,60
"7",804967,7,"2020-02-04","10:21:51","Geochem(2)","Trial",7,"No",NA,NA,"PPM",NA,NA,NA,13456,1717,NA,NA,NA,79274,540,NA,NA,NA,347195,929,NA,NA,NA,308,37,NA,NA,NA,0,66,NA,NA,NA,27337,87,NA,NA,NA,14169,49,NA,NA,NA,2535,108,NA,NA,NA,0,37,NA,NA,NA,73,14,NA,NA,NA,353,14,NA,NA,NA,20841,78,NA,NA,NA,80,15,NA,NA,NA,30,4,NA,NA,NA,56,3,NA,NA,NA,71,2,NA,NA,NA,7,1,NA,NA,NA,0,1,NA,NA,NA,126,1,NA,NA,NA,417,2,NA,NA,NA,8,1,NA,NA,NA,192,2,NA,NA,NA,8,1,NA,NA,NA,0,2,NA,NA,NA,0,7,NA,NA,NA,0,9,NA,NA,NA,0,14,NA,NA,NA,0,17,NA,NA,NA,1349,176,NA,NA,NA,0,5,NA,NA,NA,0,3,NA,NA,NA,7,1,NA,NA,NA,0,7,NA,NA,NA,14,3,NA,NA,NA,0,3,NA,NA,NA,492094,1265,"formal tool","NHW","17-1062-020","EfRc-4:005","Chip",60,60
"8",804967,8,"2020-02-04","10:25:19","Geochem(2)","Trial",8,"No",NA,NA,"PPM",NA,NA,NA,5316,1608,NA,NA,NA,89922,556,NA,NA,NA,354630,908,NA,NA,NA,257,37,NA,NA,NA,0,63,NA,NA,NA,30679,92,NA,NA,NA,18084,57,NA,NA,NA,2402,105,NA,NA,NA,0,35,NA,NA,NA,49,13,NA,NA,NA,350,14,NA,NA,NA,18479,71,NA,NA,NA,83,15,NA,NA,NA,19,4,NA,NA,NA,42,3,NA,NA,NA,61,2,NA,NA,NA,6,1,NA,NA,NA,0,1,NA,NA,NA,122,1,NA,NA,NA,419,2,NA,NA,NA,6,1,NA,NA,NA,183,2,NA,NA,NA,9,1,NA,NA,NA,0,2,NA,NA,NA,0,7,NA,NA,NA,0,9,NA,NA,NA,0,14,NA,NA,NA,0,17,NA,NA,NA,1275,170,NA,NA,NA,0,5,NA,NA,NA,0,3,NA,NA,NA,10,1,NA,NA,NA,0,7,NA,NA,NA,11,3,NA,NA,NA,0,3,NA,NA,NA,477585,1208,"expedient tool","NHW","17-1062-020","EfRc-4:006","Chip",60,60
"9",804967,9,"2020-02-04","10:27:47","Geochem(2)","Trial",9,"No",NA,NA,"PPM",NA,NA,NA,0,2880,NA,NA,NA,72499,571,NA,NA,NA,316787,776,NA,NA,NA,129,42,NA,NA,NA,0,84,NA,NA,NA,29317,88,NA,NA,NA,17299,56,NA,NA,NA,2073,114,NA,NA,NA,0,38,NA,NA,NA,0,21,NA,NA,NA,373,15,NA,NA,NA,18914,74,NA,NA,NA,57,16,NA,NA,NA,23,4,NA,NA,NA,46,3,NA,NA,NA,62,2,NA,NA,NA,7,1,NA,NA,NA,0,1,NA,NA,NA,120,1,NA,NA,NA,423,2,NA,NA,NA,9,1,NA,NA,NA,182,2,NA,NA,NA,15,1,NA,NA,NA,0,3,NA,NA,NA,0,8,NA,NA,NA,0,10,NA,NA,NA,0,15,NA,NA,NA,0,20,NA,NA,NA,1460,188,NA,NA,NA,0,5,NA,NA,NA,0,3,NA,NA,NA,7,2,NA,NA,NA,0,8,NA,NA,NA,27,3,NA,NA,NA,0,3,NA,NA,NA,540171,1039,"expedient tool","NHW","17-1062-020","EfRc-4:006","Chip",60,60
"10",804967,10,"2020-02-04","10:32:43","Geochem(2)","Trial",10,"No",NA,NA,"PPM",NA,NA,NA,9117,1796,NA,NA,NA,88043,586,NA,NA,NA,375955,1019,NA,NA,NA,139,41,NA,NA,NA,0,65,NA,NA,NA,35274,111,NA,NA,NA,19605,66,NA,NA,NA,2542,109,NA,NA,NA,0,36,NA,NA,NA,0,20,NA,NA,NA,380,15,NA,NA,NA,20868,83,NA,NA,NA,108,17,NA,NA,NA,0,6,NA,NA,NA,49,3,NA,NA,NA,65,2,NA,NA,NA,7,1,NA,NA,NA,0,1,NA,NA,NA,140,1,NA,NA,NA,455,2,NA,NA,NA,6,1,NA,NA,NA,195,2,NA,NA,NA,14,1,NA,NA,NA,0,3,NA,NA,NA,0,7,NA,NA,NA,0,8,NA,NA,NA,0,13,NA,NA,NA,0,16,NA,NA,NA,1731,179,NA,NA,NA,0,5,NA,NA,NA,0,3,NA,NA,NA,10,2,NA,NA,NA,0,8,NA,NA,NA,26,3,NA,NA,NA,0,3,NA,NA,NA,445271,1278,"exped tool SM","NHW","17-1062-020","EfRc-4:011","Chip",60,60
"11",804967,11,"2020-02-04","10:35:03","Geochem(2)","Trial",11,"No",NA,NA,"PPM",NA,NA,NA,7102,1688,NA,NA,NA,90295,576,NA,NA,NA,378355,985,NA,NA,NA,0,50,NA,NA,NA,0,64,NA,NA,NA,33950,104,NA,NA,NA,18336,61,NA,NA,NA,2611,106,NA,NA,NA,0,35,NA,NA,NA,0,19,NA,NA,NA,430,14,NA,NA,NA,20391,79,NA,NA,NA,75,16,NA,NA,NA,12,4,NA,NA,NA,44,3,NA,NA,NA,68,2,NA,NA,NA,8,1,NA,NA,NA,0,1,NA,NA,NA,134,1,NA,NA,NA,439,2,NA,NA,NA,6,1,NA,NA,NA,187,2,NA,NA,NA,12,1,NA,NA,NA,0,3,NA,NA,NA,0,7,NA,NA,NA,0,8,NA,NA,NA,0,12,NA,NA,NA,0,15,NA,NA,NA,1372,170,NA,NA,NA,0,5,NA,NA,NA,0,3,NA,NA,NA,7,2,NA,NA,NA,0,7,NA,NA,NA,30,3,NA,NA,NA,5,1,NA,NA,NA,446130,1232,"exped tool SM","NHW","17-1062-020","EfRc-4:011","Chip",60,60
"12",804967,12,"2020-02-04","10:39:34","Geochem(2)","Trial",12,"No",NA,NA,"PPM",NA,NA,NA,9512,1302,NA,NA,NA,99418,516,NA,NA,NA,400461,844,NA,NA,NA,328,35,NA,NA,NA,0,49,NA,NA,NA,33353,86,NA,NA,NA,19411,53,NA,NA,NA,2340,96,NA,NA,NA,0,33,NA,NA,NA,45,13,NA,NA,NA,371,13,NA,NA,NA,20179,68,NA,NA,NA,95,15,NA,NA,NA,22,3,NA,NA,NA,39,3,NA,NA,NA,61,2,NA,NA,NA,6,1,NA,NA,NA,0,1,NA,NA,NA,127,1,NA,NA,NA,446,2,NA,NA,NA,10,1,NA,NA,NA,191,1,NA,NA,NA,7,1,NA,NA,NA,0,2,NA,NA,NA,0,7,NA,NA,NA,0,8,NA,NA,NA,0,12,NA,NA,NA,0,14,NA,NA,NA,1401,158,NA,NA,NA,0,4,NA,NA,NA,0,3,NA,NA,NA,9,1,NA,NA,NA,0,6,NA,NA,NA,9,2,NA,NA,NA,0,3,NA,NA,NA,412160,1003,"exped tool SM","NHW","17-1062-020","EfRc-4:031","Chip",60,60
"13",804967,13,"2020-02-04","10:42:21","Geochem(2)","Trial",13,"No",NA,NA,"PPM",NA,NA,NA,7329,1237,NA,NA,NA,98865,505,NA,NA,NA,423946,846,NA,NA,NA,271,35,NA,NA,NA,0,46,NA,NA,NA,35442,88,NA,NA,NA,19380,52,NA,NA,NA,2392,98,NA,NA,NA,0,32,NA,NA,NA,0,18,NA,NA,NA,381,13,NA,NA,NA,20449,68,NA,NA,NA,66,15,NA,NA,NA,15,3,NA,NA,NA,39,3,NA,NA,NA,66,2,NA,NA,NA,8,1,NA,NA,NA,0,1,NA,NA,NA,134,1,NA,NA,NA,452,2,NA,NA,NA,8,1,NA,NA,NA,189,1,NA,NA,NA,6,1,NA,NA,NA,0,2,NA,NA,NA,0,7,NA,NA,NA,0,8,NA,NA,NA,0,11,NA,NA,NA,0,14,NA,NA,NA,1513,162,NA,NA,NA,0,4,NA,NA,NA,0,3,NA,NA,NA,8,1,NA,NA,NA,0,6,NA,NA,NA,13,2,NA,NA,NA,0,3,NA,NA,NA,389029,958,"exped tool SM","NHW","17-1062-020","EfRc-4:031","Chip",60,60
"14",804967,14,"2020-02-04","10:46:39","Geochem(2)","Trial",14,"No",NA,NA,"PPM",NA,NA,NA,7106,1929,NA,NA,NA,80213,589,NA,NA,NA,321946,976,NA,NA,NA,133,41,NA,NA,NA,0,80,NA,NA,NA,30554,105,NA,NA,NA,18108,65,NA,NA,NA,2190,111,NA,NA,NA,0,37,NA,NA,NA,0,20,NA,NA,NA,349,15,NA,NA,NA,18917,81,NA,NA,NA,95,16,NA,NA,NA,13,4,NA,NA,NA,50,3,NA,NA,NA,62,2,NA,NA,NA,7,1,NA,NA,NA,0,1,NA,NA,NA,127,1,NA,NA,NA,431,2,NA,NA,NA,5,1,NA,NA,NA,192,2,NA,NA,NA,13,1,NA,NA,NA,0,3,NA,NA,NA,0,8,NA,NA,NA,0,9,NA,NA,NA,0,14,NA,NA,NA,0,17,NA,NA,NA,1527,184,NA,NA,NA,0,5,NA,NA,NA,0,3,NA,NA,NA,9,2,NA,NA,NA,0,8,NA,NA,NA,29,3,NA,NA,NA,0,3,NA,NA,NA,517923,1432,"exped tool SM","NHW","17-1062-020","EfRc-4:041","Chip",60,60
"15",804967,15,"2020-02-04","10:49:28","Geochem(2)","Trial",15,"No",NA,NA,"PPM",NA,NA,NA,7442,1333,NA,NA,NA,92028,510,NA,NA,NA,411700,885,NA,NA,NA,238,36,NA,NA,NA,0,52,NA,NA,NA,30884,83,NA,NA,NA,16282,49,NA,NA,NA,2417,99,NA,NA,NA,0,33,NA,NA,NA,38,13,NA,NA,NA,347,13,NA,NA,NA,18877,67,NA,NA,NA,61,14,NA,NA,NA,23,3,NA,NA,NA,50,3,NA,NA,NA,62,2,NA,NA,NA,6,1,NA,NA,NA,0,1,NA,NA,NA,127,1,NA,NA,NA,418,2,NA,NA,NA,6,1,NA,NA,NA,188,1,NA,NA,NA,6,1,NA,NA,NA,0,2,NA,NA,NA,0,7,NA,NA,NA,0,8,NA,NA,NA,0,13,NA,NA,NA,0,16,NA,NA,NA,1383,161,NA,NA,NA,0,4,NA,NA,NA,0,3,NA,NA,NA,9,1,NA,NA,NA,0,7,NA,NA,NA,9,2,NA,NA,NA,0,3,NA,NA,NA,417398,1031,"exped tool SM","NHW","17-1062-020","EfRc-4:041","Chip",60,60
"16",804967,16,"2020-02-04","10:55:01","Geochem(2)","Trial",16,"No",NA,NA,"PPM",NA,NA,NA,0,2666,NA,NA,NA,74447,554,NA,NA,NA,310469,751,NA,NA,NA,251,41,NA,NA,NA,0,84,NA,NA,NA,29326,86,NA,NA,NA,17747,55,NA,NA,NA,2115,114,NA,NA,NA,0,39,NA,NA,NA,51,15,NA,NA,NA,310,15,NA,NA,NA,18750,72,NA,NA,NA,103,16,NA,NA,NA,21,4,NA,NA,NA,44,3,NA,NA,NA,63,2,NA,NA,NA,7,1,NA,NA,NA,0,1,NA,NA,NA,125,1,NA,NA,NA,429,2,NA,NA,NA,6,1,NA,NA,NA,184,2,NA,NA,NA,12,1,NA,NA,NA,0,3,NA,NA,NA,0,8,NA,NA,NA,0,10,NA,NA,NA,0,15,NA,NA,NA,0,19,NA,NA,NA,1436,191,NA,NA,NA,0,5,NA,NA,NA,0,3,NA,NA,NA,9,2,NA,NA,NA,0,7,NA,NA,NA,24,3,NA,NA,NA,0,3,NA,NA,NA,544072,1017,"exped tool","NHW","17-1062-020","EfRc-4:042","Chip",60,60
"17",804967,17,"2020-02-04","10:58:12","Geochem(2)","Trial",17,"No",NA,NA,"PPM",NA,NA,NA,9092,1756,NA,NA,NA,78583,554,NA,NA,NA,334304,940,NA,NA,NA,232,39,NA,NA,NA,0,73,NA,NA,NA,30201,98,NA,NA,NA,17980,61,NA,NA,NA,2207,113,NA,NA,NA,0,38,NA,NA,NA,46,14,NA,NA,NA,351,14,NA,NA,NA,18685,76,NA,NA,NA,81,15,NA,NA,NA,19,4,NA,NA,NA,41,3,NA,NA,NA,58,2,NA,NA,NA,4,1,NA,NA,NA,0,1,NA,NA,NA,123,1,NA,NA,NA,422,2,NA,NA,NA,4,1,NA,NA,NA,186,2,NA,NA,NA,10,1,NA,NA,NA,0,3,NA,NA,NA,0,8,NA,NA,NA,0,9,NA,NA,NA,0,15,NA,NA,NA,0,19,NA,NA,NA,863,184,NA,NA,NA,8,3,NA,NA,NA,0,3,NA,NA,NA,9,1,NA,NA,NA,0,7,NA,NA,NA,18,3,NA,NA,NA,0,3,NA,NA,NA,506472,1327,"exped tool","NHW","17-1062-020","EfRc-4:042","Chip",60,60
"18",804967,18,"2020-02-04","11:04:48","Geochem(2)","Trial",18,"No",NA,NA,"PPM",NA,NA,NA,10479,1338,NA,NA,NA,96119,519,NA,NA,NA,374841,837,NA,NA,NA,242,34,NA,NA,NA,0,55,NA,NA,NA,31596,85,NA,NA,NA,18272,53,NA,NA,NA,2140,101,NA,NA,NA,0,34,NA,NA,NA,57,13,NA,NA,NA,356,13,NA,NA,NA,17970,65,NA,NA,NA,73,14,NA,NA,NA,19,3,NA,NA,NA,41,3,NA,NA,NA,57,2,NA,NA,NA,6,1,NA,NA,NA,0,1,NA,NA,NA,125,1,NA,NA,NA,416,2,NA,NA,NA,7,1,NA,NA,NA,190,1,NA,NA,NA,7,1,NA,NA,NA,0,2,NA,NA,NA,0,7,NA,NA,NA,0,8,NA,NA,NA,0,13,NA,NA,NA,0,16,NA,NA,NA,1326,168,NA,NA,NA,0,4,NA,NA,NA,0,3,NA,NA,NA,10,1,NA,NA,NA,0,6,NA,NA,NA,0,4,NA,NA,NA,0,3,NA,NA,NA,445649,1060,"exped tool","NHW","17-1062-020","EfRc-4:056","Chip",60,60
"19",804967,19,"2020-02-04","11:07:13","Geochem(2)","Trial",19,"No",NA,NA,"PPM",NA,NA,NA,4635,1535,NA,NA,NA,89900,550,NA,NA,NA,342885,880,NA,NA,NA,263,37,NA,NA,NA,0,67,NA,NA,NA,30953,93,NA,NA,NA,17386,56,NA,NA,NA,2242,106,NA,NA,NA,0,35,NA,NA,NA,0,19,NA,NA,NA,339,14,NA,NA,NA,18045,70,NA,NA,NA,90,15,NA,NA,NA,25,4,NA,NA,NA,45,3,NA,NA,NA,60,2,NA,NA,NA,9,1,NA,NA,NA,0,1,NA,NA,NA,124,1,NA,NA,NA,406,2,NA,NA,NA,9,1,NA,NA,NA,190,2,NA,NA,NA,9,1,NA,NA,NA,0,2,NA,NA,NA,0,8,NA,NA,NA,0,9,NA,NA,NA,0,14,NA,NA,NA,27,9,NA,NA,NA,1341,173,NA,NA,NA,0,5,NA,NA,NA,0,3,NA,NA,NA,6,1,NA,NA,NA,0,7,NA,NA,NA,16,3,NA,NA,NA,0,3,NA,NA,NA,490993,1208,"exped tool","NHW","17-1062-020","EfRc-4:056","Chip",60,60
"20",804967,20,"2020-02-04","11:10:10","Geochem(2)","Trial",20,"No",NA,NA,"PPM",NA,NA,NA,7104,1682,NA,NA,NA,80162,550,NA,NA,NA,333495,918,NA,NA,NA,317,39,NA,NA,NA,0,73,NA,NA,NA,32159,101,NA,NA,NA,17174,59,NA,NA,NA,2152,107,NA,NA,NA,0,36,NA,NA,NA,0,19,NA,NA,NA,372,14,NA,NA,NA,19381,77,NA,NA,NA,67,15,NA,NA,NA,0,6,NA,NA,NA,43,3,NA,NA,NA,60,2,NA,NA,NA,6,1,NA,NA,NA,0,1,NA,NA,NA,128,1,NA,NA,NA,429,2,NA,NA,NA,6,1,NA,NA,NA,192,2,NA,NA,NA,12,1,NA,NA,NA,0,3,NA,NA,NA,0,8,NA,NA,NA,0,9,NA,NA,NA,0,14,NA,NA,NA,0,17,NA,NA,NA,1375,176,NA,NA,NA,0,5,NA,NA,NA,0,3,NA,NA,NA,8,1,NA,NA,NA,0,7,NA,NA,NA,19,3,NA,NA,NA,4,1,NA,NA,NA,505333,1297,"exped tool","NHW","17-1062-020","EfRc-4:060","Chip",60,60
"21",804967,21,"2020-02-04","11:14:32","Geochem(2)","Trial",21,"No",NA,NA,"PPM",NA,NA,NA,9929,1370,NA,NA,NA,97611,532,NA,NA,NA,369733,848,NA,NA,NA,292,35,NA,NA,NA,0,58,NA,NA,NA,32158,88,NA,NA,NA,17367,52,NA,NA,NA,2190,102,NA,NA,NA,0,34,NA,NA,NA,0,18,NA,NA,NA,307,13,NA,NA,NA,17913,66,NA,NA,NA,85,14,NA,NA,NA,17,3,NA,NA,NA,47,3,NA,NA,NA,60,2,NA,NA,NA,7,1,NA,NA,NA,0,1,NA,NA,NA,122,1,NA,NA,NA,415,2,NA,NA,NA,7,1,NA,NA,NA,188,1,NA,NA,NA,7,1,NA,NA,NA,0,2,NA,NA,NA,0,7,NA,NA,NA,0,8,NA,NA,NA,0,13,NA,NA,NA,0,16,NA,NA,NA,1498,170,NA,NA,NA,0,4,NA,NA,NA,0,3,NA,NA,NA,8,1,NA,NA,NA,0,7,NA,NA,NA,9,2,NA,NA,NA,0,3,NA,NA,NA,450030,1086,"exped tool","NHW","17-1062-020","EfRc-4:060","Chip",60,60
